id,size,name,mod_class
628,42.30216,"Plesser, M. Ronen",9
629,40.383694,"Bhatti, M. Tariq",7
630,41.342926,"El-Dairi, Mays Antoine",7
631,40.383694,"Freedman, Sharon Fridovich",7
632,40.191845,"Gupta, Preeya Kshettry",4
633,41.72662,"Wallace, David Keith",7
634,42.494003,"Thakur, Mugdha Ekanath",4
635,41.918465,"Astrachan, Owen L.",8
636,40.57554,"Atkins, Jed W.",9
637,40.767387,"Attarian, David Edward",3
638,45.179855,"McKee, Daphne Connelly",6
639,42.30216,"Kelley, Scott Streater",3
640,40.959232,"Wellman, Samuel S.",3
641,41.151077,"Grant, Stuart Alan",10
642,44.98801,"Green, Cynthia Lea",0
643,41.342926,"Attix, Deborah Koltai",10
644,40,"Smith, Patrick J",1
645,42.110313,"Radtke, Rodney Allan",6
646,42.30216,"Hayden, Kathleen M.",6
647,40.57554,"Atwater, Amber Reck",5
648,40.959232,"Hall III, Russell P.",6
649,40.191845,"Kim, Han Woong",1
650,40.191845,"Auten Jr., Richard Lambert",1
651,40,"Sheng, Huaxin",2
652,40,"Warner, David Samuel",2
653,40.383694,"Foster, Matthew Wolf",2
654,40.959232,"Marshall III, Harvey Edwin",1
655,40,"McMahon, Timothy Joseph",10
656,42.110313,"Bilbo, Staci D.",6
657,69.73621,"Babu, Shivnath",6
658,40,"Munagala, Kamesh",6
659,41.342926,"Sherwood, Andrew",0
660,40,"Doraiswamy, Pudugramam Murali",6
661,40.767387,"Hoffman, Benson Mark",1
662,41.53477,"Bowers, Margaret Therese",4
663,42.877697,"Watkins, Lana L.",6
664,44.79616,"Georgiades, Anastasia Zoe Elsa",6
665,40.57554,"Surwit, Richard Samuel",6
666,46.71463,"Caldwell, David S.",10
667,40,"Guilak, Farshid",3
668,47.865707,"Rice, John Russell",5
669,40.383694,"Martinu, Tereza",1
670,43.45324,"Jiang, Wei",0
671,42.110313,"Schocken, Douglas David",5
672,40,"Welty-Wolf, Karen Elizabeth",2
673,40,"Browndyke, Jeffrey Nicholas",2
674,40.383694,"Burke, James Robert",6
675,43.645084,"Bachelder, Robin Elizabeth",2
676,41.342926,"Geradts, Joseph",2
677,40.767387,"Osada, Takuya",2
678,40.191845,"Pizzo, Salvatore Vincent",2
679,42.110313,"Badea, Alexandra",6
680,40,"Johnson, G. Allan",6
681,40.383694,"Driehuys, Bastiaan",1
682,40.383694,"Badea, Cristian Tudorel",1
683,40.57554,"Hedlund, Laurence William",4
684,40.57554,"Zhang, Xiaofeng",1
685,40,"Kirsch, David Guy",1
686,41.72662,"Therien, Michael J.",6
687,40.191845,"Das, Shiva Kumar",1
688,41.53477,"Bae, Jonathan Gregory",5
689,41.342926,"Shah, Nirmish Ramesh",1
690,40.767387,"Bagley, Carlos Antonio",6
691,40,"Haglund, Michael Martin",2
692,41.342926,"Isaacs, Robert Eric",6
693,41.53477,"Gottfried, Oren N",6
694,42.685852,"Husain, Aatif Mairaj",6
695,40.191845,"Brown, Christopher Robert",3
696,40.57554,"Grossi, Peter Michael",5
697,40.383694,"Richardson, William James",10
698,40.383694,"Lad, Shivanand",6
699,40.959232,"Bagnat, Michel",6
700,41.53477,"Wolf, Patrick D.",6
701,40.191845,"Judd, Robert Martin",0
702,40,"Klem, Igor",1
703,41.72662,"Gilliss, Catherine Lynch",12
704,40,"Champagne, Mary Thomson",12
705,40,"Rice, Henry Elliot",1
706,40.191845,"Bailey-Cooner, Heatherlee",11
707,40.767387,"Bain, James R.",2
708,40.959232,"Huffman, Kim Marie",2
709,45.947243,"Slentz, Cris Allan",0
710,40.57554,"Morey, Miriam C.",0
711,41.151077,"Taylor, Gregory Alan",2
712,40.191845,"Batch, Bryan Courtney",0
713,41.342926,"Patel, Mahesh",0
714,40.191845,"Koves, Timothy Robert",6
715,40,"Muoio, Deborah Marie",2
716,40,"Freemark, Michael Scott",10
717,43.45324,"Baker, Jay Alan",1
718,40.767387,"Lo, Joseph Yuan-Chieh",1
719,41.72662,"Ghate, Sujata Vijay",1
720,40.959232,"Kim, Connie Eunjung",5
721,40.383694,"Samei, Ehsan",1
722,43.069546,"Soo, Mary Scott Campbell",1
723,40.383694,"Walsh, Ruth",4
724,40.57554,"Soher, Brian Joseph",10
725,40,"Bashir, Mustafa Shadi Rifaat",1
726,44.79616,"Johnson, Karen Schwenk",1
727,40,"Barnhart, Huiman Xie",1
728,41.151077,"Mazurowski, Maciej A",1
729,43.069546,"Yoon, Sora Christina",1
730,40,"Hwang, Eun-Sil Shelley",1
731,40,"Lyman, Gary Herbert",1
732,53.23741,"Baker, Paul A.",2
733,44.604317,"Li, Wenhong",6
734,41.72662,"Balcells, Laia",5
735,45.56355,"Baldwin, Steven W.",4
736,42.877697,"Bales, Connie Watkins",0
737,40,"Nelson, Rendon C.",1
738,41.53477,"Bali, Deeksha Sarihyan",6
739,40.191845,"Chen, Yuan-Tsong",2
740,40.767387,"Kishnani, Priya Sunil",6
741,40.959232,"Koeberl, Dwight D.",6
742,41.918465,"Sun, Baodong",10
743,40.383694,"Millington, David Stuart",10
744,40,"Rehder, Rebeccah Catherine",1
745,40.959232,"Case, Laura Elizabeth",6
746,40.383694,"Young, Sarah Phyllis",2
747,40,"Buckley, Anne Frances",10
748,41.342926,"Smith, Edward Clinton",10
749,40.959232,"Balleisen, Edward J.",5
750,105.80336,"Balseiro, Santiago Roman",5
751,41.918465,"Bandarenko III, Nicholas",10
752,40.57554,"Bennett-Guerrero, Elliott",0
753,41.72662,"Goldberg, Ronald Norman",6
754,41.342926,"Tanaka, David Timothy H.",5
755,43.26139,"Banks, David L.",6
756,41.342926,"Bansal, Ravi",12
757,43.83693,"Barak, Lawrence Simeon",2
758,42.494003,"Mook Jr., Robert Anthony",2
759,41.151077,"Hobeika, Amy Claudine",1
760,41.53477,"Spector, Neil Lee",2
761,41.151077,"Baran, Dominika M",5
762,40.383694,"Baranger, Harold U.",6
763,40.57554,"Gauthier, Daniel J.",6
764,41.151077,"Finkelstein, Gleb",6
765,40,"Barbeau, Phillip Spencer",10
766,42.30216,"Barbeito, Atilio",0
767,40.57554,"Mark, Jonathan Ball",5
768,40.767387,"Schroeder, Rebecca Ann",5
769,40.191845,"Segall, Noa",12
770,40,"Thornlow, Deirdre KIing",12
771,40.191845,"Barboriak, Daniel P.",1
772,40.191845,"Petry, Neil Allen",9
773,42.30216,"Zalutsky, Michael Rod",6
774,42.110313,"Brizel, David Manfield",1
775,41.342926,"Yoo, David Sung-Hyun",1
776,40.57554,"Barfield, Raymond Carlton",1
777,41.151077,"Brandon, Debra Huffman",12
778,40,"Barkauskas, Christina Eleanor",2
779,41.151077,"Hogan, Brigid L. M.",2
780,40.57554,"Barker, Piers Christopher Andrew",6
781,42.110313,"Kanter, Ronald Jay",0
782,48.2494,"Kuller, Jeffrey Adam",6
783,41.918465,"Campbell, Michael Jay",5
784,42.30216,"Miller, Stephen Gary",0
785,40,"Brancazio, Leo Richard",5
786,43.83693,"Cohen-Wolkowiez, Michael",6
787,41.72662,"Fleming, Gregory Allan",0
788,40,"Li, Jennifer Shiunroh",0
789,41.53477,"Kisslo, Joseph Andrew",6
790,40.383694,"Marin, Daniele",1
791,42.494003,"Carrico, Caroline Way Thompson",5
792,40.383694,"Frush, Donald Paul",1
793,41.151077,"Gaca, Ana Maria",5
794,40.191845,"Maxfield, Charles Mason",1
795,40.767387,"Smith, Tony Preston",1
796,40.57554,"Zomorodi, Ali Reza",6
797,40,"Provenzale, James Michael",1
798,40.767387,"Boll, Daniel Tobias",1
799,40.767387,"Gupta, Rajan Tilak",1
800,43.45324,"Ho, Lisa Mei-ling",1
801,40.191845,"Christensen, Jared Dean",1
802,41.342926,"Koweek, Lynne Michelle Hurwitz",1
803,42.110313,"Leder, Richard Adam",5
804,40,"McAdams, Holman Page",6
805,42.494003,"Barr, Roger C.",5
806,42.110313,"Barros, Ana",6
807,40.57554,"Ostermann, Jan",6
808,40.191845,"Thielman, Nathan Maclyn",6
809,46.52278,"Harmon, James Lester",5
810,42.30216,"Goodman, Philip C.",5
811,40,"Bartz, Raquel Rae",2
812,41.151077,"Suliman, Hagir B.",2
813,40.57554,"Miller, Chad Michael",4
814,40,"Howle, Laurens E.",12
815,40.57554,"Jones, Harrison N.",10
816,40.959232,"Brennan, Todd Victor",1
817,42.30216,"Ellis, Matthew Jay",1
818,40.191845,"Kim, Charles Yoon",1
819,40.767387,"Seaman, Danielle Marie",1
820,40.57554,"Czito, Brian Gary",1
821,42.685852,"Suhocki, Paul Vincent",1
822,43.26139,"Eastwood, James D.",1
823,40,"Hoang, Jenny K.",1
824,43.069546,"Bashore, Thomas Michael",0
825,44.604317,"Kiefer, Todd Lee",0
826,41.72662,"Gehrig, Thomas Richard",5
827,64.17266,"Bass, Cameron R.",6
828,116.73861,"Capehart, Bruce Pinson",6
829,99.85611,"Myers, Barry S.",6
830,48.441246,"Nightingale, Roger W",6
831,41.342926,"Bass, Steffen Ashraf",6
832,40.959232,"Mueller, Berndt",6
833,41.72662,"Wolpert, Robert L.",10
834,42.494003,"Basurto, Xavier",6
835,40.191845,"Bennett, Gary G.",0
836,41.151077,"Edwards, Christopher Levon",6
837,40.57554,"Feinglos, Mark Neil",2
838,40,"Spratt, Susan Elizabeth",5
839,41.918465,"Lakey, Wanda Cook",10
840,41.151077,"Hammond II, William Edward",12
841,40.383694,"Richesson, Rachel L",12
842,40.959232,"Batchelor-Aselage, Melissa Karen",12
843,40.57554,"Batinic-Haberle, Ines",6
844,40.767387,"Spasojevic, Ivan",2
845,40.959232,"Yan, Hai",2
846,40.191845,"Keir, Stephen Thomas",2
847,41.72662,"Zhang, Zhiquan",5
848,40.383694,"Devi, Gayathri R.",1
849,40.57554,"Ramanujam, Nimmi",2
850,40.191845,"Owzar, Kouros",1
851,40.57554,"Baugh, Larry Ryan",2
852,40.767387,"Sherwood, David R.",6
853,41.53477,"Bayer, Patrick",12
854,40.959232,"Timmins, Christopher D.",12
855,89.11271,"Beale, J. Thomas",5
856,47.482014,"Layton, Anita T.",6
857,42.685852,"Bean, Sarah Muntzing",1
858,42.877697,"Jones, Claudia Kay",4
859,40.191845,"Bentley, Rex Colle",1
860,40.959232,"Robboy, Stanley J.",2
861,42.494003,"Buckley, Patrick Joseph",1
862,40.57554,"Beaven, Anne Wood",1
863,40,"Chao, Nelson Jen An",1
864,40.767387,"Chute, John Patrick",6
865,41.918465,"Gasparetto, Cristina",6
866,40.767387,"Horwitz, Mitchell Eric",1
867,40,"Lagoo, Anand Shreeram",1
868,40.191845,"Li, Zhiguo",1
869,41.72662,"Long, Gwynn Douglas",6
870,40.191845,"Peterson, Bercedis Leola",1
871,40,"Rizzieri, David Alan",1
872,41.53477,"Storms, Robert William",10
873,41.151077,"Sullivan, Keith Michael",6
874,40.191845,"Yang, Yiping",2
875,41.151077,"Diehl, Louis Frederic",1
876,40,"Kelsey, Christopher Ryan",1
877,40,"Dave, Sandeep S.",2
878,41.151077,"de Castro III, Carlos Manuel",1
879,40.383694,"Moore, Joseph Odell",1
880,41.151077,"Becher, Oren Josh",2
881,40.959232,"Gromeier, Matthias",2
882,40.767387,"Becker, Charles Maxwell",3
883,42.30216,"Voora, Deepak",0
884,42.494003,"Sullenger, Bruce Alan",2
885,40.959232,"Patel, Chetan B.",0
886,40,"Chi, Jen-Tsan Ashley",2
887,41.918465,"Dungan, Jennifer",12
888,40.383694,"Wagner II, Henry Ryan",6
889,40.959232,"Rubin, David C.",6
890,48.82494,"Mitchell, John T",6
891,41.151077,"Van Voorhees, Elizabeth E.",6
892,40,"Brancu, Mira",6
893,40.383694,"Runnals, Jennifer J.",4
894,41.918465,"Hertzberg, Michael Andrew",6
895,41.151077,"Crawford, Eric F.",5
896,40,"Ulmer, Christi S",10
897,50.35971,"Fulton, Jessica Jade",4
898,40.383694,"Kudler, Harold Stephen",12
899,40.57554,"Marx, Christine Elizabeth",6
900,40.191845,"Morey, Rajendra A.",6
901,45.371704,"Nieuwsma, Jason A",6
902,47.09832,"Tupler, Larry A.",6
903,41.918465,"Weiner, Richard David",10
904,41.53477,"Bedlack, Richard Stanley",10
905,40.767387,"Yao, Tso-Pang",2
906,42.494003,"Modrich, Paul L.",2
907,40.191845,"Behringer, Robert P.",9
908,41.53477,"Bejan, Adrian",6
909,41.918465,"Bejsovec, Amy",10
910,42.877697,"Bellet, Jane Sanders",5
911,42.685852,"Prose, Neil Stuart",10
912,40.383694,"Wolfe, Sarah Ann",5
913,40,"Belloni, Alexandre",9
914,42.877697,"Bendich, Paul L",9
915,40.383694,"Harer, John",9
916,40,"Benfey, Philip N.",2
917,44.79616,"Tomasi, Carlo",6
918,40.383694,"Ohler, Uwe",2
919,42.685852,"Mitchell-Olds, Thomas",2
920,43.45324,"Watt, Kevin Michael",6
921,40.959232,"Martin, Paul Langlie",1
922,40.959232,"Steinbach, William J.",6
923,43.45324,"Goldstein, Ricki Friedman",7
924,40,"McKinney Jr., Ross Erwin",10
925,41.151077,"Lenfestey, Robert William",4
926,40.191845,"Reiman Jr., Robert Ellis",1
927,40.959232,"Bennear, Lori Snyder",11
928,40,"Smith, Martin D.",11
929,40.383694,"Pfaff, Alexander",6
930,40.383694,"Read, Andrew J",6
931,41.53477,"Benner, Eric James",2
932,40.191845,"Eroglu, Cagla",2
933,40.191845,"Kuo, Chay Titus",2
934,40,"Liu, Chunlei",6
935,40.959232,"Smith, Stephen William",6
936,54.196644,"Caspi, Avshalom",2
937,46.906475,"Moffitt, Terrie E.",6
938,40.57554,"Proeschold-Bell, Rae Jean",10
939,40,"Bennett, George Vann",12
940,40.191845,"Marszalek, Piotr E.",12
941,40.57554,"Yang, Weitao",6
942,40.383694,"Shaw, Andrew David",0
943,40.767387,"BENSON, THEOPHILUS ADETOKUNBO",10
944,40.767387,"Campa, Michael Joseph",4
945,41.151077,"Gottlin, Elizabeth B.",4
946,41.72662,"Pisetsky, David Stephen",10
947,40.959232,"Linardic, Corinne Mary",2
948,40,"Marks, Jeffrey R.",10
949,40.767387,"Schildkraut, Joellen Martha",6
950,40,"Iversen Jr., Edwin Severin",2
951,40.191845,"Heine, Robert Phillips",6
952,44.028778,"Seed, Patrick Casey",2
953,40.959232,"Ford, Anne Cunanan",10
954,40.57554,"Hawblitzel Yarnall, Kimberly S.",5
955,41.918465,"Beratan, David N.",6
956,40.191845,"Craig, Stephen Lawrence",6
957,40.959232,"Toone, Eric John",2
958,42.494003,"Moorman, Patricia Gripka",6
959,40.959232,"Myers, Evan Robert",6
960,41.918465,"Berg, Carl",1
961,41.53477,"Berger, James O.",6
962,40.383694,"Clyde, Merlise",6
963,40.57554,"Bermeo, Sarah Blodgett",5
964,40.191845,"Bernhardt, Emily Snow",2
965,47.67386,"Doyle, Martin",6
966,44.028778,"Wright, Justin Prouty",2
967,41.342926,"Liu, Jie",6
968,40.57554,"Jackson, Robert B.",6
969,42.30216,"Oren, Ram",2
970,47.482014,"Palmroth, Sari",6
971,40.767387,"Di Giulio, Richard T.",2
972,40.57554,"Vengosh, Avner",6
973,40.57554,"Hsu-Kim, Heileen",2
974,41.342926,"Richardson, Curtis J.",2
975,54.580338,"Fay, John Patrick",4
976,46.71463,"Gunsch, Claudia K.",2
977,40.767387,"Meyer, Joel",2
978,42.30216,"Hunt, Dana E.",2
979,40.959232,"Bernstein, Fernando",11
980,41.151077,"Kok, A. Gurhan",11
981,40.767387,"Beskow, Laura Mari",2
982,40.767387,"Holditch-Davis, Diane L.",12
983,40,"Jackson, George Lee",1
984,40.767387,"Bettman, James R.",10
985,40.383694,"Fitzsimons, Gavan J.",10
986,41.342926,"Payne, John W.",10
987,40.191845,"Ubel, Peter A",8
988,42.877697,"Richard, Michael Jason",7
989,41.53477,"Kaylie, David Marcus",1
990,42.494003,"Ready, Neal Edward",1
991,41.72662,"Mahmoud, Tamer Hamdy",7
992,40.767387,"Gururangan, Sridharan",2
993,42.877697,"Peters, Katherine Barnett",1
994,41.53477,"He, Yiping",2
995,42.494003,"Rasheed, B. K. Ahmed",2
996,41.72662,"Vo-Dinh, Tuan",6
997,40.191845,"Nicchitta, Christopher Vincent",2
998,41.151077,"Black, Sherilynn",5
999,41.151077,"Dzirasa, Kafui",2
1000,41.151077,"Szabo, Steven",2
1001,40.767387,"Hartman, Zachary Conrad",1
1002,40.191845,"Clary, Bryan Marshall",1
1003,40.767387,"McCann, Richard L.",0
1004,40.383694,"Pappas, Theodore N.",1
1005,40.383694,"Scarborough, John Emerson",1
1006,40,"White, Rebekah Ruth",1
1007,40.383694,"Lagoo-Deenadayalan, Sandhya Anand",1
1008,40.191845,"Willett, Christopher G.",1
1009,41.72662,"Zani Jr., Sabino",1
1010,41.53477,"Strickler, John",1
1011,41.53477,"Perez, Alexander",1
1012,41.342926,"Wu, Li-Tzy",6
1013,40.959232,"Burchett, Bruce Myatt",6
1014,42.30216,"Hybels, Celia F.",6
1015,43.645084,"Li, Ting-Kai",6
1016,41.342926,"James, Sherman A.",6
1017,40,"Fillenbaum, Gerda G.",5
1018,42.30216,"Mannelli, Paolo",6
1019,40,"Swartz, Marvin Stanley",6
1020,50.93525,"Zeng, Yi",6
1021,55.155876,"Kinghorn, Warren A.",6
1022,43.069546,"Blazing, Michael August",0
1023,40,"Silva, Susan Gray",12
1024,48.82494,"Varia, Indira Mahesh",5
1025,41.342926,"Blitzblau, Rachel Catherine",1
1026,40.57554,"Gockerman, Jon Paul",1
1027,40,"Datto, Michael Bradley",1
1028,44.220623,"Riedel, Richard Francis",1
1029,40,"Vlahovic, Gordana",1
1030,40,"Hanks, Brent Allen",2
1031,42.877697,"Blood-Siegfried, Jane Elizabeth",12
1032,42.110313,"Bloomfield, Gerald",0
1033,47.482014,"Waugh, Robert Andrew",4
1034,40,"Finkelstein, Eric Andrew",7
1035,40.191845,"Limkakeng Jr., Alexander Tan",10
1036,40.57554,"Lynch, Catherine Ann",2
1037,41.918465,"Blount, Alma G.",9
1038,40.57554,"Blum, Volker",9
1039,40.383694,"Potter, Guy Glenn",2
1040,41.342926,"Boadu, Fred K.",5
1041,43.069546,"Boatwright, Mary T.",9
1042,43.26139,"Bobrowski, Omer",9
1043,44.028778,"Boehlke, Christopher Stephen",10
1044,40,"Muhlbaier, Lawrence H.",4
1045,41.342926,"Boggess, Blake Reid",3
1046,40.383694,"Bytomski, Jeffrey Ryszard",5
1047,41.342926,"Miller Jr., Michael Joseph",1
1048,40.383694,"Bollerslev, Tim",12
1049,40,"Tauchen, George E.",12
1050,41.918465,"Orlando, Lori Ann",3
1051,42.494003,"Urbaniak, James Randolph",3
1052,40.57554,"Mather, Richard Charles",3
1053,42.110313,"Moorman III, Claude Thurman",3
1054,40.57554,"Olson, Steven Arthur",3
1055,40.191845,"Zura, Robert Douglas",10
1056,43.83693,"Kwatra, Madan Mohan",0
1057,40,"Moon, Richard Edward",10
1058,49.784172,"Rivelli, Sarah K.",0
1059,40,"Young, Christopher Carlo",4
1060,110.599525,"Marks, David Morris",6
1061,43.645084,"Bonaventura, Celia J.",5
1062,40.191845,"Crumbliss, Alvin L.",2
1063,41.918465,"Bonaventura, Joseph",10
1064,41.151077,"Criscione-Schreiber, Lisa Giorgina",10
1065,40.383694,"Bookman, Jack",4
1066,40.191845,"McGann, Kathleen Anne",4
1067,40.383694,"Narayan, Aditee Pradhan",5
1068,40,"Borawski, Joseph Brian",4
1069,41.72662,"Gerardo, Charles John",5
1070,40,"Hocker, Michael Brian",10
1071,40,"Villani, John Joseph",4
1072,42.877697,"Bordelon, Anna Hong",4
1073,42.30216,"Kim, Terry",7
1074,41.72662,"Bordley, William Clayton",10
1075,40.57554,"Borel III, Cecil Orm",5
1076,42.685852,"Guinn, Nicole Renee",10
1077,40.767387,"McDonagh, David Lawrence",0
1078,40.383694,"Keifer, John Conlon",4
1079,40.383694,"Borges-Neto, Salvador",0
1080,40.191845,"James, Olga Gennadyevna",0
1081,41.342926,"Fiuzat, Mona",0
1082,40.383694,"Phillips III, Harry Rissler",0
1083,41.72662,"Borst, Alexandra Jane",5
1084,41.918465,"Sebastian, Siby Nil",1
1085,40.383694,"Hulette, Christine Marie",6
1086,41.151077,"Van Houtven, Courtney Harold",0
1087,40.383694,"Wang, Virginia",10
1088,41.151077,"Crowley, Matthew Janik",0
1089,45.371704,"Peterson, Matthew John",5
1090,40.191845,"Shaw, Ryan",12
1091,40.191845,"Johnson, Constance Margaret",12
1092,40,"Lipkus, Isaac Marcelo",12
1093,40.191845,"Bowlby, Lynn Anne",5
1094,40,"Trujillo, Gloria Marie",5
1095,41.342926,"Goldstein, Karen",5
1096,40.383694,"Rakley, Susan Merle",5
1097,40.191845,"Pereira, Katherine Colligan",5
1098,40.767387,"Bottiger, Brandi Anne",5
1099,42.110313,"Boudreau, Alan E.",2
1100,40.191845,"Boulding, William F.",4
1101,40.383694,"Staelin, Richard",11
1102,41.72662,"Boulware, L. Ebony",6
1103,40.191845,"Toth, Cynthia Ann",7
1104,40.191845,"Bowler, Kate",9
1105,40.383694,"Bowles, Dawn Elizabeth",10
1106,42.877697,"Schroder, Jacob Niall",10
1107,41.151077,"Kontos, Christopher Dale",10
1108,47.865707,"Bowman, Rachel A",5
1109,42.877697,"Boyce, Michael Scott",2
1110,44.604317,"Boyer, Douglas Martin",2
1111,40.383694,"Daubechies, Ingrid",6
1112,40.57554,"Bradford, Daniel William",6
1113,42.30216,"Kilts, Jason David",6
1114,42.30216,"Naylor, Jennifer C.",6
1115,40.383694,"Braxton, Loretta Elaine",5
1116,41.53477,"Zinn, Sandra Denise",5
1117,40,"Strauman, Timothy J.",6
1118,41.918465,"Swanson, Jeffrey W.",6
1119,42.110313,"Bradley, Deborah Ann",1
1120,40,"Inman, Brant Allen",10
1121,41.151077,"Bradrick, Shelton",10
1122,40.57554,"Bradshaw, Wanda Todd",12
1123,41.342926,"Brady, David J.",6
1124,46.52278,"Marks, Daniel L.",6
1125,42.685852,"Gehm, Michael",6
1126,42.110313,"Kim, Jungsang",6
1127,41.342926,"Schmidler, Scott C.",5
1128,41.342926,"Willett, Rebecca",6
1129,40.767387,"Kapadia, Anuj J",6
1130,40.191845,"Carin, Lawrence",2
1131,40.383694,"Smith, David R.",6
1132,42.30216,"Liao, Xuejun",2
1133,40.383694,"Sapiro, Guillermo",2
1134,41.151077,"Tornai, Martin Paul",6
1135,40.57554,"Branch, Malcolm Stanley",4
1136,40.959232,"Jowell, Paul Simon",4
1137,42.30216,"Liddle, Rodger Alan",2
1138,40.191845,"Obando, Jorge Valdemar",4
1139,40.191845,"Poleski, Martin Henry",4
1140,41.53477,"Pabon-Ramos, Waleska Michelle",5
1141,41.151077,"Burbridge, Rebecca Ann",10
1142,42.685852,"Omotosho, Philip Ayodeji",6
1143,41.342926,"Curry, John F.",6
1144,40.191845,"Malcolm, William Ferris",4
1145,40.191845,"Turner, Barbara Swope",12
1146,41.151077,"Levy, Janet Anne",12
1147,40.767387,"Hawks, Sharon Jeanette",5
1148,40.383694,"Powell, Dorothy Lewis",12
1149,40,"Taicher, Brad Matthew",5
1150,52.08633,"Brandon, Robert N.",4
1151,43.45324,"McShea, Daniel W.",6
1152,44.41247,"Brands, Hal",10
1153,40.383694,"Brandt, Michael W.",11
1154,41.342926,"Brannon, Elizabeth M.",10
1155,46.330936,"Platt, Michael Louis",10
1156,49.208633,"Drea, Christine M.",2
1157,48.633095,"Hare, Brian",2
1158,43.45324,"Nunn, Charles L",2
1159,40.383694,"Brav, Alon",11
1160,87.002396,"Bray, Hubert",5
1161,40.383694,"Brennan, Richard Gerald",2
1162,44.604317,"Schumacher, Maria Anne",2
1163,41.342926,"Guan, Ziqiang",2
1164,40.767387,"Collins, Bradley Henry",1
1165,42.30216,"Hollenbeck, Scott Thomas",3
1166,40.191845,"Ravindra, Kadiyala Venkata",1
1167,41.151077,"Sudan, Debra L",1
1168,41.151077,"Sushama, Deepak Vikraman",1
1169,42.685852,"Huang, Xiaopei",2
1170,41.918465,"Patel, Keyur",6
1171,40.57554,"Bretherton, Luke Michael",4
1172,40.383694,"Heilbron, Nicole Sara",12
1173,40.191845,"Brigman, Brian Eugene",3
1174,42.494003,"Erdmann, Detlev",6
1175,40.191845,"Eward, William Curtis",3
1176,41.151077,"Levinson, Howard",6
1177,42.30216,"Richard, Marc Joseph",3
1178,40.191845,"Harrelson, John Miles",5
1179,40.383694,"Larrier, Nicole A.",5
1180,47.29017,"Dunphy II, Frank Russell",1
1181,42.110313,"Esclamado, Ramon Mitra",1
1182,41.72662,"Scher, Richard Lyle",5
1183,42.110313,"Wu, Qingrong",1
1184,40.383694,"Cohen, Seth Morris",6
1185,41.53477,"Fisher, Samuel Rankin",4
1186,40.767387,"Lee, Walter T",2
1187,40.959232,"Puscas, Liana",6
1188,41.151077,"Witsell, David Latham",1
1189,41.53477,"Roy Choudhury, Kingshuk",1
1190,43.26139,"Broach, Amy Nicole",5
1191,40.767387,"Broder, Joshua Seth",10
1192,41.53477,"Brooke, Martin A.",5
1193,40.57554,"Jokerst, Nan Marie",6
1194,40.191845,"Palmer, Gregory M.",2
1195,40.57554,"Brooks, Kelli Rachel",4
1196,40.383694,"Shapiro, Mark Louis",1
1197,40.959232,"Broverman, Sherryl A.",10
1198,40.57554,"Puffer, Eve Sullivan",10
1199,40.57554,"Meade, Christina S.",6
1200,40,"Sikkema, Kathleen J.",6
1201,40,"Watt, Melissa",6
1202,42.877697,"Brown, April S.",6
1203,43.069546,"Collins, Leslie M.",6
1204,40.57554,"Fischer, Martin",2
1205,40,"Warren, Warren S.",6
1206,43.83693,"Chen, Jun",2
1207,40.383694,"Fitch, Robert Douglas",3
1208,42.30216,"Owens, Thomas Andrew",10
1209,41.151077,"Lark, Robert",3
1210,40.191845,"Thacker, Julie K. Marosky",0
1211,41.151077,"Brown, David B.",11
1212,40.959232,"Smith, James E.",11
1213,47.865707,"Chireau, Monique V.",0
1214,40.767387,"Plassman, Brenda Lee",6
1215,40.57554,"Petrella, Jeffrey Robert",1
1216,40.383694,"Brownell, Kelly D.",6
1217,43.645084,"Brudney, Charles Scott",0
1218,90.263794,"Gagliardi, Jane Patricia",6
1219,47.865707,"Kaddurah-Daouk, Rima Fathi",2
1220,40.57554,"Bruzelius, Caroline",9
1221,41.151077,"Buchanan, Allen Edward",9
1222,45.179855,"Buchanan, Ann Marie",4
1223,104.07674,"Buchheit, Thomas Edward",10
1224,107.146286,"Pyati, Srinivas",10
1225,42.110313,"Van de Ven, Thomas John",0
1226,41.53477,"Buchler, Nicolas",5
1227,40.383694,"You, Lingchong",2
1228,43.83693,"Crowley, Steven Daniel",2
1229,42.685852,"Dolber, Paul Christian",2
1230,40.57554,"Sparks, Matthew A.",6
1231,41.918465,"Buckley, Edward George",7
1232,42.877697,"Prakalapakorn, Sasapin Grace",7
1233,40.767387,"Mruthyunjaya, Prithvi",7
1234,40.191845,"Vajzovic, Lejla",7
1235,40.767387,"Crow, Jennifer H",1
1236,40.767387,"Buckley, Rebecca Hatcher",2
1237,42.110313,"Sarzotti-Kelsoe, Marcella",2
1238,40.959232,"Hershfield, Michael Steven",2
1239,40,"Roberts, Joseph Linton",2
1240,41.342926,"Zhong, Xiaoping",2
1241,43.26139,"Devlin, Blythe Hazlehurst",2
1242,40.959232,"Markert, Mary Louise",2
1243,42.494003,"Parikh, Suhag H.",2
1244,41.151077,"Bugni, Federico",12
1245,41.53477,"Buhr, Gwendolen Toni",8
1246,41.151077,"White, Heidi Kay",8
1247,40.959232,"Heflin, Mitchell Tod",8
1248,41.918465,"Yanamadala, Mamata",5
1249,42.30216,"Twersky, Jack Isaac",8
1250,41.72662,"Cutson, Toni Michele",5
1251,40.191845,"Lyles, Kenneth Ward",8
1252,42.685852,"Burch Jr., Warner Miller",10
1253,40,"Pietrobon, Ricardo Santos",2
