edge_id,source,target,weight
0,1,2,0.76162
1,1,3,0.50023
2,2,3,0.52402
3,1,4,0.71056
4,2,4,0.88167
5,3,4,0.53019
6,1,5,0.50263
7,2,5,0.37953
8,3,5,0.45535
9,4,5,0.35078
10,1,6,0.39383
11,2,6,0.39054
12,3,6,0.36788
13,4,6,0.38976
14,5,6,0.40485
15,1,7,0.35985
16,2,7,0.3611
17,3,7,0.35746
18,4,7,0.36123
19,5,7,0.35621
20,6,7,0.31394
21,9,10,0.42592
22,3,11,0.34995
23,1,12,0.32431
24,2,12,0.32824
25,3,12,0.34645
26,4,12,0.33144
27,5,12,0.30195
28,6,12,0.26082
29,1,13,0.3236
30,2,13,0.32828
31,3,13,0.34477
32,4,13,0.33001
33,5,13,0.30661
34,6,13,0.39679
35,7,13,0.48431
36,12,13,0.36788
37,21,22,0.40539
38,20,24,0.37466
39,24,25,0.31654
40,24,27,0.3169
41,15,28,0.31077
42,26,28,0.24716
43,15,29,0.23473
44,26,29,0.13885
45,28,29,0.34925
46,20,30,0.39175
47,24,30,0.16694
48,20,31,0.35416
49,24,31,0.35982
50,25,31,0.37064
51,30,31,0.27479
52,20,33,0.35945
53,20,35,0.40414
54,24,35,0.42963
55,30,35,0.45597
56,31,35,0.29071
57,33,35,0.26708
58,20,36,0.36525
59,24,36,0.46227
60,25,36,0.33757
61,30,36,0.38778
62,31,36,0.40865
63,33,36,0.30948
64,35,36,0.38139
65,18,37,0.29951
66,12,42,0.32126
67,40,43,0.36609
68,20,45,0.36239
69,24,45,0.41453
70,25,45,0.3521
71,30,45,0.34244
72,31,45,0.39911
73,35,45,0.34734
74,36,45,0.20237
75,24,46,0.34921
76,25,46,0.40669
77,30,46,0.26852
78,31,46,0.37426
79,33,46,0.31059
80,35,46,0.28518
81,36,46,0.42589
82,45,46,0.39361
83,20,47,0.35709
84,30,47,0.26508
85,31,47,0.32578
86,33,47,0.31096
87,35,47,0.29711
88,36,47,0.14408
89,46,47,0.40398
90,0,49,0.33495
91,21,50,0.41249
92,22,50,0.41711
93,38,53,0.32972
94,20,55,0.36283
95,35,55,0.26473
96,51,57,0.39789
97,55,57,0.38018
98,55,58,0.3152
99,58,59,0.33224
100,25,62,0.33167
101,49,62,0.33468
102,52,62,0.34925
103,20,63,0.36788
104,24,63,0.25132
105,27,63,0.36788
106,28,63,0.34891
107,30,63,0.36788
108,31,63,0.36602
109,35,63,0.36788
110,36,63,0.43759
111,45,63,0.39551
112,46,63,0.36421
113,55,63,0.38508
114,25,65,0.3597
