edge_id,source,target,weight
0,1,2,0.86883
1,1,3,0.23862
2,2,3,0.59081
3,1,4,0.77961
4,2,4,0.68727
5,3,4,0.31515
6,1,5,0.90849
7,2,5,0.94737
8,3,5,0.21873
9,4,5,0.72394
10,1,6,0.87695
11,2,6,0.97842
12,3,6,0.59262
13,4,6,0.69551
14,5,6,0.95562
15,1,7,0.44161
16,2,7,0.43907
17,3,7,0.52724
18,4,7,0.45344
19,5,7,0.44103
20,6,7,0.43961
21,9,10,0.7973
22,1,11,0.38813
23,2,11,0.38879
24,3,11,0.40448
25,4,11,0.39162
26,5,11,0.38904
27,6,11,0.38902
28,1,12,0.39281
29,2,12,0.39119
30,3,12,0.41805
31,4,12,0.39685
32,5,12,0.39164
33,6,12,0.3914
34,1,13,0.51385
35,2,13,0.50257
36,3,13,0.35681
37,4,13,0.53493
38,5,13,0.50634
39,6,13,0.50347
40,7,13,0.49126
41,11,13,0.36911
42,12,13,0.49882
43,16,17,0.35925
44,21,22,0.45516
45,20,24,0.42072
46,20,25,0.17998
47,24,25,0.45037
48,15,26,0.16472
49,20,27,0.39041
50,15,28,0.36697
51,20,28,0.39383
52,24,28,0.36446
53,26,28,0.26892
54,27,28,0.3663
55,26,29,0.29375
56,20,30,0.38608
57,24,30,0.30723
58,25,30,0.42847
59,28,30,0.3444
60,20,31,0.34117
61,24,31,0.38856
62,25,31,0.35594
63,30,31,0.16347
64,0,32,0.43286
65,20,33,0.14251
66,24,33,0.37866
67,25,33,0.16841
68,30,33,0.35723
69,20,35,0.37494
70,24,35,0.1978
71,25,35,0.41083
72,28,35,0.35002
73,30,35,0.45933
74,31,35,0.45638
75,33,35,0.35886
76,20,36,0.40286
77,24,36,0.33562
78,25,36,0.47894
79,30,36,0.45593
80,31,36,0.15442
81,33,36,0.37651
82,35,36,0.27343
83,40,43,0.45195
84,42,44,0.36788
85,20,45,0.38841
86,24,45,0.23095
87,25,45,0.42717
88,30,45,0.31509
89,31,45,0.13814
90,33,45,0.36788
91,35,45,0.25984
92,36,45,0.29453
93,20,46,0.19956
94,24,46,0.41592
95,25,46,0.22489
96,30,46,0.39404
97,31,46,0.34325
98,33,46,0.12463
99,35,46,0.3844
100,36,46,0.42628
101,45,46,0.39497
102,20,47,0.20173
103,24,47,0.41488
104,25,47,0.24562
105,30,47,0.3941
106,31,47,0.3503
107,33,47,0.15164
108,35,47,0.38603
109,36,47,0.43398
110,45,47,0.39428
111,46,47,0.25441
112,20,49,0.15098
113,21,49,0.36451
114,22,49,0.42478
115,25,49,0.35398
116,27,49,0.37983
117,32,49,0.3642
118,33,49,0.34671
119,46,49,0.13239
120,47,49,0.12329
121,21,50,0.22184
122,22,50,0.41155
123,49,50,0.36348
124,48,51,0.33259
125,25,52,0.38014
126,33,52,0.38675
127,42,52,0.36819
128,44,52,0.36583
129,12,53,0.29878
130,38,53,0.43356
131,27,54,0.36714
132,42,54,0.41872
133,44,54,0.20146
134,52,54,0.15071
135,20,55,0.40739
136,24,55,0.36788
137,28,55,0.16227
138,49,55,0.35939
139,48,57,0.47727
140,51,57,0.35219
141,52,61,0.38452
142,54,61,0.35866
143,25,62,0.3614
144,28,62,0.34953
145,42,62,0.16903
146,44,62,0.15909
147,52,62,0.16374
148,54,62,0.27243
149,55,62,0.36735
150,20,63,0.18789
151,24,63,0.45163
152,25,63,0.13327
153,27,63,0.16155
154,28,63,0.16232
155,30,63,0.38574
156,31,63,0.33763
157,35,63,0.37526
158,36,63,0.39274
159,45,63,0.38636
160,46,63,0.39722
161,47,63,0.36265
162,49,63,0.36788
163,55,63,0.18248
164,20,65,0.12269
165,27,65,0.36164
166,46,65,0.19012
167,49,65,0.13971
168,63,65,0.3853
169,64,65,0.38362
170,18,66,0.18895
171,18,67,0.23223
172,66,67,0.21009
173,18,68,0.11865
174,66,68,0.46591
175,67,68,0.22673
176,18,69,0.17776
177,66,69,0.40532
178,67,69,0.41658
179,68,69,0.54258
180,18,70,0.15851
181,66,70,0.55439
182,67,70,0.28374
183,68,70,0.74543
184,69,70,0.64989
185,58,71,0.13715
186,52,72,0.37751
187,61,72,0.36517
188,52,73,0.37755
189,61,73,0.36458
190,72,73,0.7201
191,21,74,0.24658
192,22,74,0.41646
193,49,74,0.36345
194,50,74,0.84343
195,76,78,0.68484
196,76,79,0.77474
197,78,79,0.61051
198,76,80,0.55637
199,78,80,0.58674
200,79,80,0.51246
201,76,81,0.38407
202,78,81,0.37806
203,79,81,0.38938
204,80,81,0.37621
205,82,83,0.29491
206,84,86,0.34256
207,84,87,0.3559
208,86,87,0.3811
209,77,88,0.47062
210,8,89,0.43923
211,84,89,0.37856
212,86,89,0.090275
213,84,90,0.39489
214,85,90,0.43991
215,8,91,0.35779
216,23,91,0.34034
217,89,91,0.15767
218,82,92,0.15869
219,82,93,0.073145
220,92,93,0.1946
221,82,94,0.36398
222,92,94,0.052766
223,93,94,0.028658
224,82,95,0.36003
225,84,95,0.25419
226,86,95,0.19798
227,87,95,0.35577
228,89,95,0.338
229,90,95,0.44064
230,84,96,0.34656
231,89,96,0.15148
232,91,96,0.34881
233,84,97,0.096817
234,86,97,0.099151
235,89,97,0.21911
236,96,97,0.32999
237,14,98,0.37619
238,84,98,0.3767
239,86,98,0.3535
240,89,98,0.18389
241,96,98,0.16834
242,97,98,0.3226
243,100,101,0.62766
244,99,102,0.39571
245,99,103,0.73654
246,102,103,0.38429
247,99,104,0.76733
248,102,104,0.38526
249,103,104,0.93381
250,100,105,0.38068
251,101,105,0.36778
252,99,106,0.62609
253,102,106,0.41732
254,103,106,0.73587
255,104,106,0.72036
256,99,107,0.65844
257,102,107,0.37834
258,103,107,0.88743
259,104,107,0.85111
260,106,107,0.73424
261,18,108,0.23522
262,23,108,0.27133
263,39,108,0.31406
264,66,108,0.2199
265,67,108,0.29068
266,68,108,0.27658
267,69,108,0.27264
268,70,108,0.26302
269,76,109,0.36365
270,78,109,0.37253
271,80,109,0.36327
272,99,109,0.41037
273,102,109,0.33868
274,103,109,0.40216
275,104,109,0.40245
276,106,109,0.43432
277,107,109,0.39661
278,78,110,0.36099
279,99,110,0.38108
280,102,110,0.45407
281,103,110,0.3839
282,104,110,0.38312
283,106,110,0.39522
284,107,110,0.38445
285,109,110,0.47508
286,9,111,0.62591
287,10,111,0.52616
288,9,112,0.36756
289,10,112,0.36436
290,111,112,0.37139
291,9,114,0.4054
292,10,114,0.39828
293,111,114,0.41803
294,112,114,0.42377
295,112,115,0.36281
296,114,115,0.32034
297,9,116,0.3653
298,10,116,0.36247
299,111,116,0.36767
300,112,116,0.4881
301,114,116,0.33443
302,115,116,0.355
303,99,117,0.44834
304,102,117,0.40791
305,103,117,0.4103
306,104,117,0.41694
307,106,117,0.42364
308,107,117,0.3961
309,109,117,0.38525
310,110,117,0.36412
311,99,118,0.42171
312,102,118,0.38291
313,103,118,0.31086
314,104,118,0.32513
315,106,118,0.27067
316,107,118,0.27335
317,109,118,0.40642
318,110,118,0.37215
319,117,118,0.15397
320,9,119,0.4085
321,10,119,0.39528
322,111,119,0.39468
323,9,120,0.39465
324,10,120,0.38377
325,111,120,0.38453
326,119,120,0.52792
327,113,121,0.3759
328,119,121,0.38355
329,120,121,0.37871
330,34,122,0.36572
331,54,122,0.36738
332,56,122,0.34204
333,96,122,0.37889
334,120,122,0.35432
335,59,123,0.25497
336,9,124,0.40526
337,10,124,0.39242
338,111,124,0.39107
339,119,124,0.86971
340,120,124,0.52845
341,121,124,0.37949
342,14,125,0.36517
343,65,125,0.34737
344,77,126,0.3699
345,88,126,0.34164
346,58,127,0.35217
347,71,127,0.11269
348,23,128,0.42717
349,91,128,0.36166
350,108,128,0.15874
351,129,130,0.57262
352,129,131,0.66725
353,130,131,0.85489
354,129,132,0.84483
355,130,132,0.63609
356,131,132,0.73724
357,77,134,0.19418
358,129,135,0.49383
359,130,135,0.46048
360,131,135,0.46928
361,132,135,0.48386
362,77,136,0.32891
363,88,136,0.33999
364,129,136,0.36788
365,130,136,0.36733
366,131,136,0.36788
367,132,136,0.36788
368,135,136,0.24243
369,77,137,0.3581
370,134,137,0.27874
371,136,137,0.3574
372,21,138,0.36453
373,22,138,0.15382
374,50,138,0.37657
375,74,138,0.38262
376,77,138,0.14741
377,88,138,0.36974
378,134,138,0.10939
379,135,138,0.36148
380,136,138,0.16703
381,137,138,0.3365
382,22,139,0.37953
383,138,139,0.3814
384,129,140,0.53232
385,130,140,0.92913
386,131,140,0.79783
387,132,140,0.59091
388,135,140,0.45715
389,136,140,0.36732
390,129,141,0.49154
391,130,141,0.46378
392,131,141,0.47029
393,132,141,0.48989
394,135,141,0.30859
395,136,141,0.16221
396,140,141,0.45984
397,142,143,0.43562
398,52,144,0.20624
399,61,144,0.17007
400,72,144,0.47764
401,73,144,0.46217
402,20,145,0.32537
403,22,145,0.36788
404,27,145,0.44211
405,28,145,0.34046
406,40,145,0.36567
407,41,145,0.37419
408,49,145,0.34937
409,55,145,0.40146
410,60,145,0.36788
411,63,145,0.3802
412,64,145,0.36027
413,65,145,0.39734
414,91,145,0.35979
415,99,145,0.36788
416,103,145,0.33816
417,104,145,0.34152
418,106,145,0.3455
419,107,145,0.32535
420,108,145,0.32044
421,113,145,0.37432
422,117,145,0.33162
423,118,145,0.37707
424,119,145,0.36287
425,120,145,0.3636
426,125,145,0.36401
427,128,145,0.36753
428,15,146,0.33604
429,26,146,0.17995
430,27,146,0.15507
431,28,146,0.27874
432,29,146,0.28075
433,54,146,0.34851
434,55,146,0.42284
435,62,146,0.38473
436,63,146,0.14599
437,65,146,0.13443
438,125,146,0.32953
439,145,146,0.41789
440,27,147,0.34264
441,28,147,0.37048
442,40,147,0.38746
443,49,147,0.36185
444,54,147,0.35733
445,55,147,0.35839
446,63,147,0.40374
447,125,147,0.35497
448,145,147,0.47504
449,146,147,0.17878
450,23,148,0.36622
451,59,148,0.36116
452,71,148,0.13926
453,91,148,0.39134
454,108,148,0.31952
455,23,149,0.15849
456,59,149,0.34041
457,71,149,0.12497
458,108,149,0.35908
459,148,149,0.20373
460,42,150,0.32679
461,0,151,0.32722
462,32,151,0.17481
463,38,152,0.87901
464,53,152,0.43851
465,42,153,0.36053
466,150,153,0.17725
467,0,154,0.401
468,32,154,0.37106
469,126,154,0.30173
470,151,154,0.36428
471,16,155,0.43952
472,113,155,0.15021
473,119,155,0.36401
474,121,155,0.4584
475,145,155,0.35574
476,32,156,0.44329
477,151,156,0.128
478,154,156,0.12621
479,42,157,0.30683
480,150,157,0.34729
481,153,157,0.15395
482,0,158,0.36721
483,32,158,0.22429
484,126,158,0.15818
485,151,158,0.34895
486,154,158,0.41426
487,156,158,0.35843
488,32,160,0.35399
489,156,160,0.21534
490,161,162,0.77615
491,161,163,0.18303
492,162,163,0.14804
493,161,164,0.50766
494,162,164,0.49409
495,163,164,0.16857
496,161,165,0.46527
497,162,165,0.36052
498,163,165,0.33499
499,164,165,0.347
500,161,166,0.29753
501,162,166,0.23444
502,163,166,0.45469
503,164,166,0.25018
504,165,166,0.56429
505,161,167,0.66317
506,162,167,0.85355
507,163,167,0.12944
508,164,167,0.46867
509,165,167,0.30602
510,166,167,0.20085
511,161,168,0.729
512,162,168,0.56647
513,163,168,0.237
514,164,168,0.46332
515,165,168,0.63959
516,166,168,0.3962
517,167,168,0.4829
518,161,169,0.90743
519,162,169,0.70587
520,163,169,0.19838
521,164,169,0.50126
522,165,169,0.51223
523,166,169,0.32488
524,167,169,0.60279
525,168,169,0.80145
526,158,170,0.13094
527,161,170,0.24151
528,162,170,0.24982
529,163,170,0.14133
530,164,170,0.25214
531,165,170,0.24025
532,166,170,0.26962
533,167,170,0.25746
534,168,170,0.23833
535,169,170,0.24013
536,126,171,0.13414
537,158,171,0.16897
538,161,171,0.25106
539,162,171,0.25871
540,163,171,0.15927
541,164,171,0.26244
