edge_id,source,target,weight
0,1,2,0.28211
1,1,3,0.33947
2,2,3,0.5823
3,1,4,0.22745
4,2,4,0.22852
5,3,4,0.24869
6,1,5,0.26096
7,2,5,0.75599
8,3,5,0.53657
9,4,5,0.22128
10,1,6,0.26376
11,2,6,0.35881
12,3,6,0.30894
13,4,6,0.22084
14,5,6,0.36116
15,2,7,0.35053
16,5,7,0.35451
17,6,7,0.37332
18,9,10,0.38316
19,6,11,0.36917
20,1,12,0.39013
21,6,12,0.34088
22,1,13,0.14972
23,2,13,0.14955
24,3,13,0.16741
25,4,13,0.15372
26,5,13,0.16776
27,6,13,0.20328
28,7,13,0.35015
29,12,13,0.37227
30,16,17,0.15768
31,2,18,0.34165
32,5,18,0.34075
33,6,18,0.34861
34,20,21,0.3212
35,21,22,0.24408
36,20,25,0.12638
37,24,27,0.36321
38,20,28,0.33586
39,26,28,0.16024
40,27,28,0.14783
41,26,29,0.31514
42,20,30,0.15312
43,22,30,0.36536
44,24,30,0.36109
45,27,30,0.14625
46,28,30,0.14427
47,20,31,0.1316
48,21,31,0.23994
49,30,31,0.38426
50,20,32,0.37041
51,7,33,0.14639
52,25,33,0.34769
53,32,33,0.1449
54,20,35,0.36205
55,30,35,0.40112
56,32,35,0.36242
57,11,36,0.36742
58,20,36,0.26431
59,25,36,0.13787
60,32,36,0.36296
61,35,36,0.32127
62,32,37,0.13905
63,33,37,0.34279
64,35,37,0.36296
65,25,42,0.34602
66,40,43,0.37269
67,42,44,0.35641
68,20,46,0.16604
69,25,46,0.14297
70,32,46,0.14411
71,35,46,0.13284
72,36,46,0.17067
73,20,47,0.26491
74,32,47,0.16513
75,35,47,0.25517
76,36,47,0.30889
77,46,47,0.22616
78,26,49,0.24283
79,21,50,0.25188
80,22,50,0.39269
81,48,51,0.22302
82,25,52,0.30113
83,33,52,0.14066
84,42,52,0.37366
85,44,52,0.3941
86,13,53,0.13565
87,38,53,0.42413
88,25,54,0.36721
89,42,54,0.1224
90,44,54,0.25216
91,52,54,0.37521
92,48,57,0.38566
93,51,57,0.1771
94,55,57,0.37767
95,55,58,0.36899
96,58,59,0.36795
97,22,60,0.34644
98,30,60,0.36397
99,43,60,0.38068
100,48,60,0.35763
101,51,60,0.36788
102,2,61,0.35269
103,5,61,0.36834
104,44,61,0.14526
105,54,61,0.15227
106,25,62,0.18383
107,42,62,0.12424
108,44,62,0.14261
109,52,62,0.16689
110,54,62,0.37796
111,24,63,0.18243
112,27,63,0.15726
113,28,63,0.1455
114,20,65,0.42056
115,28,65,0.37583
116,35,65,0.39846
117,36,65,0.40515
118,46,65,0.23861
119,47,65,0.4033
120,63,65,0.36511
121,18,66,0.19892
122,35,66,0.33834
123,37,66,0.36058
124,18,67,0.35883
125,23,67,0.12622
126,66,67,0.17506
127,18,68,0.42854
128,20,68,0.36451
129,35,68,0.38664
130,66,68,0.24103
131,67,68,0.26086
132,11,69,0.38091
133,18,69,0.42244
134,20,69,0.16718
135,35,69,0.2206
136,36,69,0.37451
137,37,69,0.36279
138,47,69,0.34827
139,66,69,0.23972
140,67,69,0.2276
141,68,69,0.30457
142,18,70,0.20991
143,35,70,0.34049
144,48,70,0.37957
145,66,70,0.24664
146,67,70,0.23913
147,68,70,0.38592
148,69,70,0.24835
149,58,71,0.3864
150,11,72,0.36537
151,20,72,0.38704
