edge_id,source,target,weight
0,1,2,0.22115
1,1,3,0.25964
2,2,3,0.48105
3,1,4,0.19412
4,2,4,0.16664
5,3,4,0.16968
6,1,5,0.19644
7,2,5,0.69186
8,3,5,0.42489
9,4,5,0.15548
10,1,6,0.20404
11,2,6,0.26713
12,3,6,0.20619
13,4,6,0.16037
14,5,6,0.26417
15,9,10,0.24605
16,1,12,0.36242
17,1,13,0.10816
18,2,13,0.088458
19,3,13,0.091923
20,4,13,0.36109
21,5,13,0.098707
22,6,13,0.13198
23,16,17,0.38872
24,21,22,0.1629
25,26,28,0.36788
26,27,28,0.36788
27,20,30,0.38989
28,27,30,0.11987
29,28,30,0.3577
30,21,31,0.13711
31,30,31,0.34711
32,7,33,0.33253
33,32,33,0.33004
34,20,35,0.27227
35,30,35,0.3632
36,20,36,0.17868
37,25,36,0.33124
38,35,36,0.20952
39,32,37,0.34763
40,20,46,0.12139
41,25,46,0.34134
42,32,46,0.10861
43,35,46,0.34235
44,36,46,0.1018
45,20,47,0.19131
46,32,47,0.11058
47,35,47,0.16125
48,36,47,0.20267
49,46,47,0.15883
50,26,49,0.14179
51,21,50,0.16549
52,22,50,0.2647
53,48,51,0.11612
54,25,52,0.22846
55,33,52,0.34044
56,44,52,0.36143
57,38,53,0.359
58,44,54,0.22371
59,48,57,0.34715
60,51,57,0.4197
61,55,57,0.33977
62,44,61,0.36469
63,54,61,0.11644
64,25,62,0.13144
65,44,62,0.3774
66,52,62,0.10069
67,54,62,0.34853
68,24,63,0.1422
69,27,63,0.37534
70,20,65,0.37005
71,28,65,0.32656
72,35,65,0.34876
73,36,65,0.35576
74,46,65,0.19232
75,47,65,0.35384
76,18,66,0.12353
77,66,67,0.12039
78,18,68,0.33186
79,66,68,0.19037
80,67,68,0.2275
81,11,69,0.35599
82,18,69,0.32586
83,20,69,0.10731
84,35,69,0.13286
85,66,69,0.15729
86,67,69,0.16388
87,68,69,0.2481
88,18,70,0.12631
89,66,70,0.15747
90,67,70,0.1682
91,68,70,0.32089
92,69,70,0.15908
93,58,71,0.36111
94,20,72,0.32533
95,69,72,0.29989
96,11,73,0.35897
97,52,73,0.28672
98,69,73,0.13576
99,72,73,0.27534
100,21,74,0.33099
101,22,74,0.23237
102,50,74,0.14855
103,76,78,0.14189
104,76,79,0.4063
105,78,79,0.1796
106,76,80,0.14595
107,77,80,0.33257
108,78,80,0.15203
109,79,80,0.15695
110,76,81,0.36788
111,78,81,0.36386
112,79,81,0.088209
113,82,83,0.16353
114,82,85,0.1323
115,83,85,0.36788
116,84,86,0.20138
117,84,87,0.38018
118,86,87,0.13796
119,77,88,0.13804
120,84,90,0.16658
121,86,90,0.13912
122,89,90,0.35381
123,89,91,0.33626
124,93,94,0.36788
125,84,95,0.36969
126,89,97,0.34079
127,96,97,0.26771
128,14,98,0.094314
129,89,98,0.35444
130,97,98,0.10991
131,100,101,0.27248
132,99,102,0.099607
133,99,103,0.31377
134,102,103,0.082746
135,99,104,0.22645
136,102,104,0.11008
137,103,104,0.31444
138,99,106,0.34733
139,102,106,0.11288
140,103,106,0.34458
141,104,106,0.24056
142,99,107,0.30587
143,102,107,0.083798
144,103,107,0.6778
145,104,107,0.30255
146,106,107,0.35333
147,23,108,0.20854
148,27,108,0.34376
149,99,109,0.10161
150,102,109,0.14209
151,103,109,0.09436
152,104,109,0.099119
153,106,109,0.11542
154,107,109,0.091959
155,99,110,0.12613
156,102,110,0.35893
157,103,110,0.1411
158,104,110,0.12777
159,105,110,0.35221
160,106,110,0.13724
161,107,110,0.12855
162,109,110,0.28245
163,9,111,0.32927
164,111,112,0.10489
165,111,114,0.17572
166,112,114,0.22003
167,111,116,0.11428
168,112,116,0.20935
169,113,116,0.37768
170,114,116,0.17078
171,102,117,0.31363
172,104,117,0.3368
173,9,119,0.32688
174,9,120,0.25751
175,119,120,0.30302
176,9,121,0.32123
177,119,121,0.389
178,120,121,0.34026
179,119,122,0.34855
180,120,122,0.32225
181,59,123,0.16097
182,9,124,0.28669
183,119,124,0.49475
184,120,124,0.304
185,121,124,0.37051
186,122,124,0.33244
187,88,126,0.12324
188,23,128,0.36788
189,108,128,0.12847
190,129,130,0.24223
191,129,131,0.25925
192,130,131,0.60958
193,129,132,0.15752
194,130,132,0.33752
195,131,132,0.38934
196,74,134,0.081714
197,77,134,0.35273
198,88,134,0.31808
199,129,134,0.31939
200,129,135,0.15377
201,130,135,0.30527
202,131,135,0.105
